Company Name,Review
Samsung,Camera and display is so good... design glossy and call quality is exceptional... bought for my mother she is so happy.........
Samsung,Super quality phone
Samsung,"One of the best device from a brad called Samsung.. at this price range it is a class phone i would say ... Big battery 6000mah?? amoled display with 90hz , decent camera , main key factor 4 years OS update... A decent phone just go for it"
Samsung,"Phone looks very nice good camera very good display and battery backup is very good, Amaging phone this prise range"
Samsung,Over all good
Samsung,Good phone with this price range and also colour is good
Samsung,"Budget smartphone, nice look, good battery backup, better ui experience, light in weight"
Samsung,Overall best phone in budget...
Samsung,Performance is not good as expected mobile is lag in first time.display is amazing camera is decent battery is awsm mid range good phone.
Samsung,Nice product ?? samsung Galaxiy f15 good mobile ?? camera good . Display wonderful
Samsung,Best Budget Samsung Smart Phone
Samsung,The phone is great but the battery is draining very fast
Samsung,Camera quality nd performance super Budget friendly mobile... packing was too good tq flipkart
Samsung,It's awesome....
Samsung,"Loved the look of this phone, display and cute little phone ."
Samsung,Value for money go for buy it
Samsung,This product is very good ????.and better is better
Samsung,If they provide charge it will be good
Samsung,Samsung mobiles Never disappoint you All rounder one under budget just go for it
Samsung,"Best 5g phone Samsung. I feel good performance. And this product by it no problem. I love Samsung and flip kart ,???????? thanks ??"
Samsung,Charging issue
Samsung,"Good phone for parents, and daily life usage, Not recommend for young generation who use phone too much."
Samsung,"Good product for mid rang within 16k, wonderful display."
Samsung,Package phone but camera quality is not best Samsung m32 4g camera better then Samsung f15 5g.
Samsung,Cons- Slow charging
Samsung,Awesome phone. Great display. Go ahead and get it. Otherwise buy something else for 2 GB more ram and little more performance but once you use or see this you'll regret your purchase for not having good display
Samsung,Its Awesome At this Price Segment...
Samsung,So nice design and performance is worth for money.
Samsung,A base compact phone which is useful for daily needs and not recommend for gaming. Front camera is quite good.rear is okay. Overall a budget master.
Samsung,Phone good but don't Accept Airtel Discount ok
Samsung,Feel in hand is awesome. Camera is good overall best value for money phone. I suggest to buy this phone.
Samsung,Great value for money
Samsung,This phone is bauget statment amazing phone.i like this phone .????
Samsung,Best budget mobile with super amoled display
Samsung,This is the best product and very worthfull product
Samsung,"Camera is very poor, hanging issue slow working battery is good display is good"
Oneplus,"OnePlus are the very best manufacturers of mobile devices, bar none."
Oneplus,"Phone looks good, but no phone cover or charger like seen in some reviews"
Oneplus,Good and serviceable product received but my old phone was good without any damages though delivery boy demanded Rs 400 extra.
Oneplus,Mobile looking good and package 📦 is well packed
Oneplus,Good budget friendly phone...
Oneplus,Performance is good .build quality excellent.decent battery and camera .
Oneplus,Legit phone
Oneplus,"AMAZING battery life , very calssy , best UI , easy to use Ai options , 10/10 design . overall 4.8/5 I really like it"
Oneplus,"Been using it for the last month, really goor battery timing, handy fast charging feature"
Oneplus,Using this phone from last 3 months. No heating issues. Fast Charging 0 to 100 % in 26 minutes.
Oneplus,The OnePlus Nord CE4 Lite 5G emerges as a compelling mid-range smartphone that offers excellent value for budget-conscious consumers
Oneplus,The phone works perfectly and meets all expectations
Oneplus,The OnePlus Nord CE 4 in Celadon Marble is an excellent choice for anyone looking for a balance of style and performance at a reasonable price.
Oneplus,The OnePlus Nord CE 4 is arguably the best phone in the under-25k price range
Oneplus,Awesome Phone With best features.
Oneplus,Worth for what you pay
Oneplus,Awesome I am happy thanks OnePlus
Oneplus,"Smooth display, nice feel but lacks contrast keyboard"
Oneplus,I am feeling the love growing for OnePlus
Oneplus,Excellent
Oneplus,Great device better than iphones
Oneplus,Love this mobile
Oneplus,Awesome Light Weight And Looking Awesome
Oneplus,Great Phone Good perfermance
Oneplus,Very Poor performance phone with many issues
Oneplus,Best phone from one plus.....no problem no heat... love to one plus
Oneplus,Camera is fab Butter touch
Oneplus,This phone old version good new update not good big issue network problem and fon slow work and touch automatic work
Oneplus,Product was good but delivery was too late
Oneplus,Iam disappointed with the phone not working properly network issue
Oneplus,Oneplus 9 5 X phone your better performance better camera
Oneplus,Feature of the phone is very well and I am happy with this..
Oneplus,Good quality product
Oneplus,"Everything, the process, the exchange, the discount was very fabulous"
Oneplus,Speed delivery.and very good product. Performance never settle. Thank
Oneplus,The mobile box got damaged and delivery box also got damaged 
Oneplus,This phone is kind of all rounder
Oneplus,"Nice performance, excellent camera"
Oneplus,Mobile getting heat in normal condition and charging condition
Oneplus,Great phone to use.
Oneplus,After upgration of OS12 have lots of issues heating a pohne battery discharge lots of issues.
Oneplus,Awesome companion
Oneplus,It was an amazing experience to buy quickly
Oneplus,"Great purchase and return experience, got very good price for my old phone, upgraded to new one + 9"
Oneplus,"Excellent mobile OnePlus 9 , light weight , replaced old 7T pro with awesome deal"
Oneplus,I have been using since one plus 5t then 7t and now 9..
Oneplus,Lagging and hanging issue Not as smooth as one plus 8 pro.
Oneplus,"One of the best phone, So smooth and performance power house"
Oneplus,Awesome Phone With best features.
Oneplus,Fantastic Phone is awesome
Vivo,Super camera quality 😍.
Vivo,Value of money..
Vivo,Just looking like a woow
Vivo,Mast
Vivo,I like it 🤩🤩
Vivo,Amazing performance And battery backup is good Camera performs well Curve Display feels premium
Vivo,Camera 4.5/5
Vivo,battery = 5/5
Vivo,"performance = Bgmi constant 60 fps gameplay, but medium heating issue 4.6/5"
Vivo,Display = 4.8/5
Vivo,"Overall charging very fast, speaker loud👍, Auto call record, Great 5G connection. Overall it really worth it In this price range."
Vivo,Nice design and looking awesome...camera good ...battery performance k..
Vivo,"Best of the best mobile, blindly go for it."
Vivo,Camera 11/10 (2X POTRAIT CAPTURE DSLR TYPE IMG)
Vivo,Battery 10/10 (Very Impressed 1.5 days backup)
Vivo,Charging 10/10 ( hardly takes 45-50min to fully charge)
Vivo,Display 11/10 (Top notch Amoled 3D curve display)
Vivo,Speaker 10/10 (Best quality)
Vivo,Performance 11/10 (Beast)
Vivo,"UI 10/10 (If you remove all ads settings, smooth clean UI is awaiting for you with no bugs/lags FunTouch OS is very optimised)"
Vivo,Overall very good phone. Best in market.
Vivo,"Perfect phone under the budget of 25k. Display, camera, look, everything is awesome. The battery backup is really really great. Ai eraser in the photo editing section .... its working very well."
Vivo,Very good camera and best for gaming
Vivo,My rating is 4.5 out of 5.
Vivo,Good 👍
Vivo,The only thing I noticed was that need to improve the portrait mode in the camera section.
Vivo,Everything is good 👍 😊
Vivo,Very good product with superfast delivery...❤️❤️
Vivo,Best in this segment 🥰
Vivo,BATTERY BACKUP IS GOOD
Vivo,CHARGING SPEED IS FAST
Vivo,GOOD DIVICE
Vivo,First of All I got the phone after 9 minutes of order.
Vivo,After using 2 day battle ground mobile u can play hdr high setting
Vivo,Battery 40% drain in 4 hours
Vivo,Charge took 50 minutes 0 to 100
Vivo,Camera also super
Vivo,My genuine review
Vivo,Camera 5/5
Vivo,Performance 5/5
Vivo,Battery 5/5
Vivo,Display 5/5
Vivo,Best phone in this segment for a reason. Epic display with a consistent camera and monster processor to handle all the process smoothly.
Vivo,Superb Excellent 👌👍 Phone in the price segment
Vivo,Super fast delivery 🚚 Thanks Flipkart 👍👌👌
Vivo,Slimmest mobile nice performance
Vivo,"Very good mobile in this range. Battery good , Fast charging, Rear camera is fantastic but front camera is need to improvement"
Vivo,Very nice mobile camera battery display...
Vivo,I love vivo.🥳🥳🥳🥳🥳
Vivo,"This phone, feature, specifications all are good"
Realme,Great performance for the price!
Realme,The battery life is amazing.
Realme,Smooth and fast UI experience.
Realme,Camera quality is decent for the price.
Realme,Super-fast charging is a game changer.
Realme,Display is bright and vibrant.
Realme,Value for money device!
Realme,Good for gaming without heating issues.
Realme,Stylish design and premium feel.
Realme,Speakers are loud and clear.
Realme,The fingerprint sensor is super responsive.
Realme,Ultra-smooth 120Hz refresh rate.
Realme,Rear camera performs well in daylight.
Realme,Selfie camera could be better.
Realme,No major heating issues while gaming.
Realme,Works great for multitasking.
Realme,Face unlock is really fast.
Realme,No lags even with heavy usage.
Realme,Build quality feels sturdy.
Realme,Night mode improves low-light photos.
Realme,Software updates are regular.
Realme,Slightly bulky but manageable.
Realme,Decent RAM management.
Realme,Call quality is crystal clear.
Realme,The macro camera is fun to use.
Realme,Battery lasts more than a day.
Realme,Smooth UI with no ads.
Realme,"No bloatware, clean experience."
Realme,Perfect for students and professionals.
Realme,5G support is a great addition.
Realme,Face unlock works even in low light.
Realme,The screen is scratch-resistant.
Realme,Camera AI enhances photos well.
Realme,Great phone for social media users.
Realme,Easy to hold despite the large screen.
Realme,Video stabilization works well.
Realme,"Supports fast charging, but no charger in the box."
Realme,Stereo speakers provide immersive sound.
Realme,The phone feels lightweight.
Realme,Network reception is strong.
Realme,Decent low-light photography.
Realme,No overheating issues even with long usage.
Realme,The UI is customizable and user-friendly.
Realme,Supports heavy games like BGMI smoothly.
Realme,No lag while switching between apps.
Realme,The design looks premium and modern.
Realme,Water resistance would have been great.
Realme,Camera software improvements needed.
Realme,One of the best Realme phones ever!
Realme,Definitely worth buying at this price.
